preset,symbol,total_slots,filled_slots,acceptance_pct,median_rho,far_pct,median_val_return,median_val_dd,median_pf,median_return_dd
all_gates,AU200,24,12,50.0,1.321839,0.0,7.9,2.27,2.1835,3.7525
all_gates,AUDCAD,24,5,20.8333,1.422709,0.0,7.12,2.75,2.395,2.589091
all_gates,AUDJPY,24,10,41.6667,1.106213,10.0,8.74,3.475,1.885,2.94339
all_gates,AUDNZD,24,6,25.0,1.427167,0.0,10.21,1.45,3.5065,5.449643
all_gates,AUDUSD,24,6,25.0,1.081986,0.0,8.51,2.91,1.7585,3.110555
all_gates,BCHUSD,24,12,50.0,1.089218,25.0,13.295,2.555,1.953,6.406891
all_gates,BTCETH,24,6,25.0,1.268593,0.0,10.1,2.94,2.282,5.30746
all_gates,BTCUSD,24,12,50.0,0.120915,75.0,248.235,14.625,1.94,25.836946
all_gates,CADJPY,24,10,41.6667,0.929314,10.0,12.0,3.83,1.7395,3.558701
all_gates,CHFJPY,24,14,58.3333,1.169755,7.142857,10.92,2.715,1.874,3.681998
all_gates,DE30,24,17,70.8333,1.02611,17.647059,15.43,3.68,1.959,6.373737
all_gates,DOGUSD,24,3,12.5,1.756696,0.0,6.97,1.01,3.969,9.178218
all_gates,ES35,24,16,66.6667,1.198987,6.25,11.595,2.155,2.121,4.421524
all_gates,ETHUSD,24,20,83.3333,0.777358,30.0,17.065,3.925,2.21,8.611531
all_gates,EU50,24,12,50.0,1.310582,0.0,8.26,2.0,2.2945,5.018496
all_gates,EURAUD,24,10,41.6667,1.467685,0.0,13.925,2.175,2.6955,6.65356
all_gates,EURCAD,24,6,25.0,1.903354,0.0,6.53,1.015,2.9025,6.049612
all_gates,EURCHF,24,4,16.6667,1.63085,0.0,7.885,2.06,2.5755,4.716788
all_gates,EURGBP,24,6,25.0,1.379322,0.0,6.795,2.1,3.131,3.281699
all_gates,EURJPY,24,11,45.8333,0.99894,36.363636,12.7,4.58,1.863,4.186667
all_gates,EURUSD,24,11,45.8333,1.182609,18.181818,10.3,2.07,1.814,3.984375
all_gates,GBPAUD,24,9,37.5,1.127248,0.0,7.0,2.54,2.038,3.271654
all_gates,GBPCAD,24,8,33.3333,1.021801,12.5,9.2,3.88,1.5095,2.025936
all_gates,GBPCHF,24,7,29.1667,0.955419,14.285714,9.11,2.1,1.898,2.647619
all_gates,GBPJPY,24,12,50.0,1.055968,25.0,9.8,2.62,1.812,5.238067
all_gates,GBPUSD,24,11,45.8333,1.119088,9.090909,11.21,2.96,1.842,4.298148
all_gates,HK50,24,16,66.6667,0.830413,31.25,13.925,3.805,1.8835,7.025254
all_gates,JP225,24,17,70.8333,0.948531,17.647059,12.57,2.34,2.003,4.265857
all_gates,LTCUSD,24,11,45.8333,1.094126,18.181818,11.99,2.29,2.064,5.067976
all_gates,NZDJPY,24,9,37.5,1.179515,11.111111,9.98,2.88,1.97,2.886935
all_gates,NZDUSD,24,7,29.1667,1.101842,14.285714,8.47,3.15,1.902,4.467005
all_gates,SOLUSD,24,10,41.6667,1.01263,0.0,10.88,2.885,2.2745,3.643715
all_gates,TRXUSD,24,2,8.3333,1.779456,0.0,5.68,1.83,2.855,3.865197
all_gates,UK100,24,12,50.0,1.006119,0.0,11.545,2.305,2.088,4.539855
all_gates,US100,24,18,75.0,1.13169,22.222222,10.38,2.95,2.113,4.06746
all_gates,US30,24,17,70.8333,1.004765,17.647059,14.74,2.95,1.801,4.356757
all_gates,US500,24,10,41.6667,1.080464,10.0,8.145,2.605,2.0585,3.708453
all_gates,USDCAD,24,8,33.3333,1.484749,0.0,7.88,1.86,2.574,4.860893
all_gates,USDCHF,24,8,33.3333,1.070161,12.5,9.765,3.13,1.8825,3.646226
all_gates,USDJPY,24,15,62.5,1.101889,13.333333,10.16,2.08,2.442,6.3
all_gates,USDMXN,24,14,58.3333,1.026572,28.571429,13.325,3.895,1.8335,4.049263
all_gates,USDNOK,24,7,29.1667,0.850569,0.0,6.35,1.96,2.408,2.910053
all_gates,USDSGD,24,6,25.0,1.464354,0.0,8.23,2.96,2.0625,3.645337
all_gates,USDZAR,24,9,37.5,1.380656,0.0,6.09,3.69,1.962,5.366337
all_gates,XAGUSD,24,16,66.6667,1.306494,6.25,16.58,2.465,2.388,7.316406
all_gates,XAUUSD,24,21,87.5,0.925511,14.285714,15.04,2.2,2.152,6.392157
all_gates,XBRUSD,24,7,29.1667,1.03948,14.285714,7.46,3.11,1.81,2.438053
all_gates,XNGUSD,24,9,37.5,0.971775,0.0,10.73,2.59,2.229,4.255319
