symbol,timeframe,candidate_count,parquet_path,status,error_message
AU200,M5,11,candidates/AU200/M5.parquet,complete,
AU200,M15,22,candidates/AU200/M15.parquet,complete,
AU200,M30,17,candidates/AU200/M30.parquet,complete,
AU200,H1,33,candidates/AU200/H1.parquet,complete,
AU200,H4,71,candidates/AU200/H4.parquet,complete,
AU200,D1,55,candidates/AU200/D1.parquet,complete,
AUDCAD,M5,9,candidates/AUDCAD/M5.parquet,complete,
AUDCAD,M15,13,candidates/AUDCAD/M15.parquet,complete,
AUDCAD,M30,18,candidates/AUDCAD/M30.parquet,complete,
AUDCAD,H1,21,candidates/AUDCAD/H1.parquet,complete,
AUDCAD,H4,62,candidates/AUDCAD/H4.parquet,complete,
AUDCAD,D1,54,candidates/AUDCAD/D1.parquet,complete,
AUDJPY,M5,9,candidates/AUDJPY/M5.parquet,complete,
AUDJPY,M15,10,candidates/AUDJPY/M15.parquet,complete,
AUDJPY,M30,13,candidates/AUDJPY/M30.parquet,complete,
AUDJPY,H1,38,candidates/AUDJPY/H1.parquet,complete,
AUDJPY,H4,56,candidates/AUDJPY/H4.parquet,complete,
AUDJPY,D1,55,candidates/AUDJPY/D1.parquet,complete,
AUDNZD,M5,1,candidates/AUDNZD/M5.parquet,complete,
AUDNZD,M15,9,candidates/AUDNZD/M15.parquet,complete,
AUDNZD,M30,8,candidates/AUDNZD/M30.parquet,complete,
AUDNZD,H1,13,candidates/AUDNZD/H1.parquet,complete,
AUDNZD,H4,57,candidates/AUDNZD/H4.parquet,complete,
AUDNZD,D1,59,candidates/AUDNZD/D1.parquet,complete,
AUDUSD,M5,10,candidates/AUDUSD/M5.parquet,complete,
AUDUSD,M15,13,candidates/AUDUSD/M15.parquet,complete,
AUDUSD,M30,23,candidates/AUDUSD/M30.parquet,complete,
AUDUSD,H1,33,candidates/AUDUSD/H1.parquet,complete,
AUDUSD,H4,66,candidates/AUDUSD/H4.parquet,complete,
AUDUSD,D1,52,candidates/AUDUSD/D1.parquet,complete,
BCHUSD,M5,8,candidates/BCHUSD/M5.parquet,complete,
BCHUSD,M15,13,candidates/BCHUSD/M15.parquet,complete,
BCHUSD,M30,38,candidates/BCHUSD/M30.parquet,complete,
BCHUSD,H1,54,candidates/BCHUSD/H1.parquet,complete,
BCHUSD,H4,66,candidates/BCHUSD/H4.parquet,complete,
BCHUSD,D1,53,candidates/BCHUSD/D1.parquet,complete,
BTCETH,M5,1,candidates/BTCETH/M5.parquet,complete,
BTCETH,M15,1,candidates/BTCETH/M15.parquet,complete,
BTCETH,M30,0,candidates/BTCETH/M30.parquet,complete,
BTCETH,H1,4,candidates/BTCETH/H1.parquet,complete,
BTCETH,H4,36,candidates/BTCETH/H4.parquet,complete,
BTCETH,D1,62,candidates/BTCETH/D1.parquet,complete,
BTCUSD,M5,18,candidates/BTCUSD/M5.parquet,complete,
BTCUSD,M15,20,candidates/BTCUSD/M15.parquet,complete,
BTCUSD,M30,17,candidates/BTCUSD/M30.parquet,complete,
BTCUSD,H1,26,candidates/BTCUSD/H1.parquet,complete,
BTCUSD,H4,25,candidates/BTCUSD/H4.parquet,complete,
BTCUSD,D1,7,candidates/BTCUSD/D1.parquet,complete,
CADJPY,M5,9,candidates/CADJPY/M5.parquet,complete,
CADJPY,M15,9,candidates/CADJPY/M15.parquet,complete,
CADJPY,M30,29,candidates/CADJPY/M30.parquet,complete,
CADJPY,H1,36,candidates/CADJPY/H1.parquet,complete,
CADJPY,H4,64,candidates/CADJPY/H4.parquet,complete,
CADJPY,D1,55,candidates/CADJPY/D1.parquet,complete,
CHFJPY,M5,12,candidates/CHFJPY/M5.parquet,complete,
CHFJPY,M15,14,candidates/CHFJPY/M15.parquet,complete,
CHFJPY,M30,24,candidates/CHFJPY/M30.parquet,complete,
CHFJPY,H1,49,candidates/CHFJPY/H1.parquet,complete,
CHFJPY,H4,65,candidates/CHFJPY/H4.parquet,complete,
CHFJPY,D1,62,candidates/CHFJPY/D1.parquet,complete,
DE30,M5,10,candidates/DE30/M5.parquet,complete,
DE30,M15,34,candidates/DE30/M15.parquet,complete,
DE30,M30,65,candidates/DE30/M30.parquet,complete,
DE30,H1,64,candidates/DE30/H1.parquet,complete,
DE30,H4,71,candidates/DE30/H4.parquet,complete,
DE30,D1,55,candidates/DE30/D1.parquet,complete,
DOGUSD,M5,0,candidates/DOGUSD/M5.parquet,complete,
DOGUSD,M15,0,candidates/DOGUSD/M15.parquet,complete,
DOGUSD,M30,0,candidates/DOGUSD/M30.parquet,complete,
DOGUSD,H1,0,candidates/DOGUSD/H1.parquet,complete,
DOGUSD,H4,12,candidates/DOGUSD/H4.parquet,complete,
DOGUSD,D1,61,candidates/DOGUSD/D1.parquet,complete,
ES35,M5,16,candidates/ES35/M5.parquet,complete,
ES35,M15,39,candidates/ES35/M15.parquet,complete,
ES35,M30,52,candidates/ES35/M30.parquet,complete,
ES35,H1,58,candidates/ES35/H1.parquet,complete,
ES35,H4,70,candidates/ES35/H4.parquet,complete,
ES35,D1,55,candidates/ES35/D1.parquet,complete,
ETHUSD,M5,40,candidates/ETHUSD/M5.parquet,complete,
ETHUSD,M15,58,candidates/ETHUSD/M15.parquet,complete,
ETHUSD,M30,67,candidates/ETHUSD/M30.parquet,complete,
ETHUSD,H1,62,candidates/ETHUSD/H1.parquet,complete,
ETHUSD,H4,61,candidates/ETHUSD/H4.parquet,complete,
ETHUSD,D1,54,candidates/ETHUSD/D1.parquet,complete,
EU50,M5,10,candidates/EU50/M5.parquet,complete,
EU50,M15,15,candidates/EU50/M15.parquet,complete,
EU50,M30,29,candidates/EU50/M30.parquet,complete,
EU50,H1,51,candidates/EU50/H1.parquet,complete,
EU50,H4,67,candidates/EU50/H4.parquet,complete,
EU50,D1,60,candidates/EU50/D1.parquet,complete,
EURAUD,M5,9,candidates/EURAUD/M5.parquet,complete,
EURAUD,M15,14,candidates/EURAUD/M15.parquet,complete,
EURAUD,M30,22,candidates/EURAUD/M30.parquet,complete,
EURAUD,H1,48,candidates/EURAUD/H1.parquet,complete,
EURAUD,H4,70,candidates/EURAUD/H4.parquet,complete,
EURAUD,D1,49,candidates/EURAUD/D1.parquet,complete,
EURCAD,M5,2,candidates/EURCAD/M5.parquet,complete,
EURCAD,M15,12,candidates/EURCAD/M15.parquet,complete,
EURCAD,M30,16,candidates/EURCAD/M30.parquet,complete,
EURCAD,H1,29,candidates/EURCAD/H1.parquet,complete,
EURCAD,H4,63,candidates/EURCAD/H4.parquet,complete,
EURCAD,D1,52,candidates/EURCAD/D1.parquet,complete,
EURCHF,M5,5,candidates/EURCHF/M5.parquet,complete,
EURCHF,M15,5,candidates/EURCHF/M15.parquet,complete,
EURCHF,M30,6,candidates/EURCHF/M30.parquet,complete,
EURCHF,H1,21,candidates/EURCHF/H1.parquet,complete,
EURCHF,H4,60,candidates/EURCHF/H4.parquet,complete,
EURCHF,D1,56,candidates/EURCHF/D1.parquet,complete,
EURGBP,M5,2,candidates/EURGBP/M5.parquet,complete,
EURGBP,M15,4,candidates/EURGBP/M15.parquet,complete,
EURGBP,M30,17,candidates/EURGBP/M30.parquet,complete,
EURGBP,H1,25,candidates/EURGBP/H1.parquet,complete,
EURGBP,H4,54,candidates/EURGBP/H4.parquet,complete,
EURGBP,D1,54,candidates/EURGBP/D1.parquet,complete,
EURJPY,M5,9,candidates/EURJPY/M5.parquet,complete,
EURJPY,M15,4,candidates/EURJPY/M15.parquet,complete,
EURJPY,M30,33,candidates/EURJPY/M30.parquet,complete,
EURJPY,H1,55,candidates/EURJPY/H1.parquet,complete,
EURJPY,H4,69,candidates/EURJPY/H4.parquet,complete,
EURJPY,D1,59,candidates/EURJPY/D1.parquet,complete,
EURUSD,M5,5,candidates/EURUSD/M5.parquet,complete,
EURUSD,M15,9,candidates/EURUSD/M15.parquet,complete,
EURUSD,M30,22,candidates/EURUSD/M30.parquet,complete,
EURUSD,H1,47,candidates/EURUSD/H1.parquet,complete,
EURUSD,H4,68,candidates/EURUSD/H4.parquet,complete,
EURUSD,D1,57,candidates/EURUSD/D1.parquet,complete,
GBPAUD,M5,2,candidates/GBPAUD/M5.parquet,complete,
GBPAUD,M15,18,candidates/GBPAUD/M15.parquet,complete,
GBPAUD,M30,22,candidates/GBPAUD/M30.parquet,complete,
GBPAUD,H1,38,candidates/GBPAUD/H1.parquet,complete,
GBPAUD,H4,69,candidates/GBPAUD/H4.parquet,complete,
GBPAUD,D1,58,candidates/GBPAUD/D1.parquet,complete,
GBPCAD,M5,4,candidates/GBPCAD/M5.parquet,complete,
GBPCAD,M15,8,candidates/GBPCAD/M15.parquet,complete,
GBPCAD,M30,16,candidates/GBPCAD/M30.parquet,complete,
GBPCAD,H1,33,candidates/GBPCAD/H1.parquet,complete,
GBPCAD,H4,64,candidates/GBPCAD/H4.parquet,complete,
GBPCAD,D1,50,candidates/GBPCAD/D1.parquet,complete,
GBPCHF,M5,5,candidates/GBPCHF/M5.parquet,complete,
GBPCHF,M15,9,candidates/GBPCHF/M15.parquet,complete,
GBPCHF,M30,21,candidates/GBPCHF/M30.parquet,complete,
GBPCHF,H1,34,candidates/GBPCHF/H1.parquet,complete,
GBPCHF,H4,64,candidates/GBPCHF/H4.parquet,complete,
GBPCHF,D1,56,candidates/GBPCHF/D1.parquet,complete,
GBPJPY,M5,7,candidates/GBPJPY/M5.parquet,complete,
GBPJPY,M15,17,candidates/GBPJPY/M15.parquet,complete,
GBPJPY,M30,44,candidates/GBPJPY/M30.parquet,complete,
GBPJPY,H1,58,candidates/GBPJPY/H1.parquet,complete,
GBPJPY,H4,68,candidates/GBPJPY/H4.parquet,complete,
GBPJPY,D1,63,candidates/GBPJPY/D1.parquet,complete,
GBPUSD,M5,12,candidates/GBPUSD/M5.parquet,complete,
GBPUSD,M15,9,candidates/GBPUSD/M15.parquet,complete,
GBPUSD,M30,27,candidates/GBPUSD/M30.parquet,complete,
GBPUSD,H1,58,candidates/GBPUSD/H1.parquet,complete,
GBPUSD,H4,67,candidates/GBPUSD/H4.parquet,complete,
GBPUSD,D1,55,candidates/GBPUSD/D1.parquet,complete,
HK50,M5,12,candidates/HK50/M5.parquet,complete,
HK50,M15,32,candidates/HK50/M15.parquet,complete,
HK50,M30,77,candidates/HK50/M30.parquet,complete,
HK50,H1,57,candidates/HK50/H1.parquet,complete,
HK50,H4,68,candidates/HK50/H4.parquet,complete,
HK50,D1,60,candidates/HK50/D1.parquet,complete,
JP225,M5,8,candidates/JP225/M5.parquet,complete,
JP225,M15,17,candidates/JP225/M15.parquet,complete,
JP225,M30,61,candidates/JP225/M30.parquet,complete,
JP225,H1,60,candidates/JP225/H1.parquet,complete,
JP225,H4,69,candidates/JP225/H4.parquet,complete,
