symbol,timeframe,regime,strategy_name,param_hash,quality_score,rank,val_trades,val_pf,val_return,val_dd,val_sharpe,val_win_rate,train_trades,train_pf,train_return,is_tuned
AU200,M5,TREND,ATRPercentileBreakoutStrategy,6c55376c65c53d76,54.31443641878377,1,28,1.867,12.04,4.31,4.873,57.14,51,1.498,12.89,True
AU200,M15,TREND,ZScoreVWAPReversionStrategy,b4668941980b5eda,55.004072400326265,1,24,1.598,5.71,2.09,3.674,62.5,78,1.406,15.1,True
AU200,M15,RANGE,ADXDIStrengthStrategy,2c5e972e7cdfc20d,49.9178532427918,1,30,1.5,7.46,2.75,2.918,40.0,90,1.054,2.02,True
AU200,M30,RANGE,ZScoreVWAPReversionStrategy,c9a34bd2345eec61,61.256870696682405,1,18,2.546,7.61,2.0,7.463,72.22,45,1.605,10.19,True
AU200,M30,CHOP,EngulfingPatternStrategy,11330ea931f31d25,54.10954562962068,2,40,1.708,15.2,3.98,4.139,52.5,114,1.04,3.25,True
AU200,H1,TREND,ZScoreVWAPReversionStrategy,6bf86483a505e47f,71.94544291092198,1,10,6.126,5.28,1.02,15.303,90.0,27,1.156,1.57,True
AU200,H1,CHOP,ZScoreVWAPReversionStrategy,6bf86483a505e47f,72.68414262207635,1,11,6.505,5.93,1.05,15.959,90.91,27,2.295,7.88,True
AU200,H4,TREND,VortexTrendStrategy,08de7325d623e85f,60.15326949065619,1,68,1.658,8.95,2.52,3.616,80.88,161,1.124,5.03,True
AU200,H4,RANGE,VortexTrendStrategy,3191597c81710832,61.30228460928101,1,12,3.068,8.19,1.86,8.762,66.67,30,1.456,6.28,False
AU200,H4,CHOP,AroonTrendStrategy,7534acee7d37bab9,62.65771387217155,1,22,2.5,13.36,2.45,7.238,63.64,71,1.101,3.62,False
AU200,D1,TREND,StochasticReversalStrategy,ea77b3b1111f54e9,63.16864635534772,1,39,1.84,5.92,1.6,4.39,82.05,91,1.172,4.02,True
AU200,D1,CHOP,ParabolicSARTrendStrategy,2f086f87630b351d,56.45655904719218,1,16,2.676,10.22,3.23,7.57,62.5,34,1.653,10.4,False
AUDCAD,M30,RANGE,ZScoreVWAPReversionStrategy,c3912febb09c31da,54.33755442984504,1,23,1.946,6.77,4.92,5.233,69.57,85,1.015,0.57,False
AUDCAD,H4,TREND,RSIDivergenceStrategy,03dcdf7267a84762,61.97650928831376,1,43,2.395,7.12,2.75,6.033,88.37,88,1.521,7.89,True
AUDCAD,H4,RANGE,EMAPullbackContinuationStrategy,ff79d44c1f83d1ab,79.13425628775377,1,11,8.044,7.46,1.01,18.632,90.91,42,2.643,18.99,True
AUDCAD,H4,CHOP,EMAPullbackContinuationStrategy,ff79d44c1f83d1ab,51.518172794017445,5,31,1.461,5.24,2.89,2.958,64.52,122,1.358,19.34,True
AUDCAD,D1,TREND,KeltnerPullbackStrategy,722c53a70b3853f8,66.64318160549922,1,10,3.583,7.82,1.02,10.036,70.0,27,1.172,2.52,False
AUDJPY,M5,TREND,MomentumBurstStrategy,f7463d2bc42bf10c,53.04027522044243,1,34,1.726,13.12,4.0,4.157,50.0,59,1.103,3.54,True
AUDJPY,M15,RANGE,MomentumBurstStrategy,42706e38472debed,41.58686287906005,3,36,1.346,9.06,5.78,2.17,38.89,86,1.345,19.41,True
AUDJPY,M30,TREND,MomentumBurstStrategy,c43e17e86fa9ed1c,51.020669578193385,1,67,1.447,6.22,4.5,2.618,79.1,123,1.121,3.5,True
AUDJPY,H1,TREND,KeltnerBreakoutStrategy,d829d4d5bb22057e,38.809857381632376,7,194,1.171,25.84,9.99,1.193,40.21,465,1.267,91.63,True
AUDJPY,H1,RANGE,EMAPullbackContinuationStrategy,80582394ebefc823,49.21491960995492,4,22,1.801,11.48,5.96,4.391,50.0,94,1.117,12.14,True
AUDJPY,H1,CHOP,SqueezeBreakoutStrategy,1d073cdeee20dffe,59.43045867460489,1,12,2.841,7.67,2.01,8.169,66.67,29,2.013,12.94,True
AUDJPY,H4,TREND,RSIDivergenceStrategy,1a6f0fcb19dc5c88,57.65760003065003,2,21,1.969,7.69,2.95,5.318,61.9,46,1.431,10.09,False
AUDJPY,H4,CHOP,KeltnerFadeStrategy,0ea2b020b49244be,66.91842636820449,1,10,3.831,5.72,1.03,10.882,80.0,35,1.414,5.61,False
AUDJPY,D1,TREND,EMAPullbackContinuationStrategy,04e1d0dd730488a3,77.26959302027477,1,26,4.919,8.42,0.98,13.128,88.46,75,1.527,9.08,True
AUDJPY,D1,CHOP,EMAPullbackContinuationStrategy,a4bed871ce7d65b5,65.59105156830216,1,25,2.616,11.01,1.88,7.754,72.0,67,1.355,10.58,True
AUDNZD,H4,TREND,StochRSITrendGateStrategy,c591982006e1fec6,63.82876669921848,1,45,1.892,9.74,2.11,4.854,77.78,100,1.226,6.83,True
AUDNZD,H4,RANGE,EMAPullbackContinuationStrategy,882f2c15cc512341,79.81182609281845,1,28,4.048,11.62,0.89,11.575,85.71,61,1.343,8.43,True
AUDNZD,H4,CHOP,EMAPullbackContinuationStrategy,594e4abaf6cbf0e1,59.91747473254277,1,59,1.624,10.25,2.42,3.691,74.58,202,1.287,22.54,True
AUDNZD,D1,TREND,WilliamsRStrategy,036a2dc03c032400,60.92820029479411,2,12,2.965,10.39,1.87,8.092,58.33,31,2.041,15.72,True
AUDNZD,D1,RANGE,EMAPullbackContinuationStrategy,5c1ad66f5b426c0e,72.41830760385233,2,14,6.289,5.45,1.02,15.119,92.86,30,3.181,9.28,True
AUDNZD,D1,CHOP,EMAPullbackContinuationStrategy,e3c3ed525c897fdb,89.40043787829472,1,30,10.577,10.17,1.03,19.603,93.33,62,1.445,5.95,True
AUDUSD,M15,TREND,MomentumBurstStrategy,0b6543e909b8889c,55.92503962444771,1,39,1.666,9.68,3.05,4.04,64.1,191,1.244,21.69,True
AUDUSD,H1,RANGE,KeltnerBreakoutStrategy,aa1fa820e2dff793,52.265349182219076,2,66,1.617,15.35,4.92,3.729,56.06,158,1.215,23.64,False
AUDUSD,H1,CHOP,SqueezeBreakoutStrategy,e5c0153bee469089,52.02448445312754,2,43,1.64,9.15,5.24,3.862,69.77,108,1.121,5.14,True
AUDUSD,H4,TREND,MACDDivergenceStrategy,c5a2615302ace320,62.19345191085632,1,25,2.257,7.87,1.98,6.411,76.0,73,1.576,13.64,True
