symbol,timeframe,regime,strategy_name,param_hash,quality_score,rank,val_trades,val_pf,val_return,val_dd,val_sharpe,val_win_rate,train_trades,train_pf,train_return,is_tuned
AU200,M5,TREND,ATRPercentileBreakoutStrategy,6c55376c65c53d76,54.31443641878377,1,28,1.867,12.04,4.31,4.873,57.14,51,1.498,12.89,True
AU200,M5,RANGE,ATRPercentileBreakoutStrategy,3ddb8650878f93e7,39.75699621990074,1,12,1.23,1.95,4.05,1.427,33.33,30,0.936,-1.33,True
AU200,M5,CHOP,FisherTransformMRStrategy,9a5cd95e702452a2,28.444262367535323,1,8,1.055,0.28,2.09,0.384,37.5,15,1.326,1.97,True
AU200,M15,TREND,ZScoreVWAPReversionStrategy,b4668941980b5eda,55.004072400326265,1,24,1.598,5.71,2.09,3.674,62.5,78,1.406,15.1,True
AU200,M15,RANGE,ADXDIStrengthStrategy,2c5e972e7cdfc20d,49.9178532427918,1,30,1.5,7.46,2.75,2.918,40.0,90,1.054,2.02,True
AU200,M15,CHOP,RSITrendFilteredMRStrategy,e6e262dd0dc70e81,38.61853101378006,1,35,1.295,6.88,7.41,1.753,31.43,128,0.877,-4.96,True
AU200,M30,TREND,ZScoreVWAPReversionStrategy,15f63ff024c371be,54.95762212177737,1,15,1.556,1.72,1.61,3.071,80.0,37,1.116,1.17,True
AU200,M30,RANGE,ZScoreVWAPReversionStrategy,c9a34bd2345eec61,61.256870696682405,1,18,2.546,7.61,2.0,7.463,72.22,45,1.605,10.19,True
AU200,M30,CHOP,ZScoreVWAPReversionStrategy,15f63ff024c371be,56.532993805478014,1,16,1.703,2.16,2.04,3.728,81.25,45,1.095,1.2,True
AU200,H1,TREND,ZScoreVWAPReversionStrategy,6bf86483a505e47f,71.94544291092198,1,10,6.126,5.28,1.02,15.303,90.0,27,1.156,1.57,True
AU200,H1,RANGE,RSIDivergenceStrategy,533e0872df8290ea,58.8418051645306,1,10,1.941,1.97,1.05,4.771,80.0,25,0.843,-1.47,True
AU200,H1,CHOP,ZScoreVWAPReversionStrategy,6bf86483a505e47f,72.68414262207635,1,11,6.505,5.93,1.05,15.959,90.91,27,2.295,7.88,True
AU200,H4,TREND,VortexTrendStrategy,08de7325d623e85f,60.15326949065619,1,68,1.658,8.95,2.52,3.616,80.88,161,1.124,5.03,True
AU200,H4,RANGE,VortexTrendStrategy,3191597c81710832,61.30228460928101,1,12,3.068,8.19,1.86,8.762,66.67,30,1.456,6.28,False
AU200,H4,CHOP,AroonTrendStrategy,7534acee7d37bab9,62.65771387217155,1,22,2.5,13.36,2.45,7.238,63.64,71,1.101,3.62,False
AU200,D1,TREND,StochasticReversalStrategy,ea77b3b1111f54e9,63.16864635534772,1,39,1.84,5.92,1.6,4.39,82.05,91,1.172,4.02,True
AU200,D1,RANGE,TRIXMomentumStrategy,06ba572f26b97682,27.032495908045444,19,5,0.83,-0.57,2.2,-1.318,40.0,4,1.246,0.5,True
AU200,D1,CHOP,ParabolicSARTrendStrategy,2f086f87630b351d,56.45655904719218,1,16,2.676,10.22,3.23,7.57,62.5,34,1.653,10.4,False
AUDCAD,M5,TREND,MomentumBurstStrategy,25fdd79d2af37c3e,31.334838535778403,1,51,1.19,6.43,7.56,1.267,35.29,206,0.53,-55.27,True
AUDCAD,M5,RANGE,ATRPercentileBreakoutStrategy,fb4cb35a2e6a24ff,36.05296908325144,1,10,1.134,0.69,3.89,0.928,50.0,24,0.926,-0.88,True
AUDCAD,M5,CHOP,ATRPercentileBreakoutStrategy,19d6b9bef83529d1,37.35278729769074,2,11,1.539,2.87,4.19,3.263,54.55,16,0.286,-9.83,True
AUDCAD,M15,TREND,MomentumBurstStrategy,2dff2ec3f0c4e9d0,40.52319429063814,1,21,1.436,4.55,3.17,2.791,52.38,65,0.582,-19.53,True
AUDCAD,M15,RANGE,ADXDIStrengthStrategy,516344cbd2df83cf,36.81067070596459,1,6,0.722,-0.94,1.71,-2.34,50.0,14,1.819,3.68,True
AUDCAD,M15,CHOP,ADXDIStrengthStrategy,516344cbd2df83cf,60.73679510758186,1,12,2.333,4.56,1.14,6.44,75.0,32,2.317,11.55,True
AUDCAD,M30,TREND,ZScoreVWAPReversionStrategy,65afa9d10c637701,46.251367831461025,1,47,1.205,4.52,3.68,1.463,57.45,148,1.054,3.63,True
AUDCAD,M30,RANGE,ZScoreVWAPReversionStrategy,c3912febb09c31da,54.33755442984504,1,23,1.946,6.77,4.92,5.233,69.57,85,1.015,0.57,False
AUDCAD,M30,BREAKOUT,MomentumBurstStrategy,8b91821d17f48cca,-51.40590803183288,8,10,0.458,-1.92,2.52,-5.103,60.0,22,1.925,2.32,True
AUDCAD,M30,CHOP,ZScoreVWAPReversionStrategy,a5e4d03119900647,35.893144213772935,1,20,1.18,2.62,6.02,1.191,35.0,64,1.455,17.56,True
AUDCAD,H1,TREND,ZScoreVWAPReversionStrategy,48c7647b86c40b03,26.761607419016627,1,18,1.086,0.84,4.3,0.636,50.0,63,1.164,5.13,True
AUDCAD,H1,RANGE,ZScoreVWAPReversionStrategy,ddbb7ac1a9c8f4e5,43.968818062373074,1,12,1.261,1.34,3.0,1.761,58.33,48,1.316,6.08,True
AUDCAD,H1,CHOP,SupplyDemandImpulseRetestStrategy,65cd9dc36ee0d563,41.2578133895233,1,34,1.16,3.33,4.37,1.103,38.24,91,0.905,-5.56,True
AUDCAD,H4,TREND,RSIDivergenceStrategy,03dcdf7267a84762,61.97650928831376,1,43,2.395,7.12,2.75,6.033,88.37,88,1.521,7.89,True
AUDCAD,H4,RANGE,EMAPullbackContinuationStrategy,ff79d44c1f83d1ab,79.13425628775377,1,11,8.044,7.46,1.01,18.632,90.91,42,2.643,18.99,True
AUDCAD,H4,CHOP,RSIDivergenceStrategy,03dcdf7267a84762,72.00238205585394,1,16,4.837,3.79,0.97,11.513,93.75,46,0.998,-0.02,True
AUDCAD,D1,TREND,KeltnerPullbackStrategy,722c53a70b3853f8,66.64318160549922,1,10,3.583,7.82,1.02,10.036,70.0,27,1.172,2.52,False
AUDCAD,D1,CHOP,VortexTrendStrategy,5efb705f1088405d,68.40320687361869,1,12,4.276,3.21,0.94,10.802,91.67,45,1.573,5.24,True
AUDJPY,M5,TREND,MomentumBurstStrategy,f7463d2bc42bf10c,53.04027522044243,1,34,1.726,13.12,4.0,4.157,50.0,59,1.103,3.54,True
AUDJPY,M5,RANGE,MomentumBurstStrategy,ec7d906cf17fda2b,31.25708848937573,1,14,1.107,1.13,8.01,0.686,28.57,38,1.088,2.2,True
AUDJPY,M5,BREAKOUT,MomentumBurstStrategy,b212ba6ed1af2a76,50.2446361868534,1,6,3.716,3.18,1.12,10.089,83.33,5,10.0,2.01,True
AUDJPY,M5,CHOP,MomentumBurstStrategy,b212ba6ed1af2a76,53.29755017502665,1,48,1.496,8.7,3.6,3.145,66.67,199,0.859,-9.54,True
AUDJPY,M15,TREND,SupplyDemandImpulseRetestStrategy,ccfd1e0a57474850,47.27606314306565,1,33,1.4,7.51,4.54,2.613,51.52,99,0.965,-1.75,False
AUDJPY,M15,RANGE,MomentumBurstStrategy,5dc60db07ad54094,66.42664255664477,1,12,2.901,7.55,0.98,8.332,66.67,41,0.893,-2.42,False
AUDJPY,M15,CHOP,SupplyDemandImpulseRetestStrategy,2199b9b4460c121c,45.13901798663308,1,14,2.293,10.64,3.81,6.272,57.14,60,0.633,-12.83,True
AUDJPY,M30,TREND,MomentumBurstStrategy,c43e17e86fa9ed1c,51.020669578193385,1,67,1.447,6.22,4.5,2.618,79.1,123,1.121,3.5,True
AUDJPY,M30,RANGE,SupplyDemandImpulseRetestStrategy,9da1aaf603726d68,33.576976633535715,1,13,1.174,1.58,3.43,1.164,38.46,37,0.568,-11.57,True
AUDJPY,M30,BREAKOUT,MomentumBurstStrategy,c43e17e86fa9ed1c,34.263749152738754,2,6,0.081,-4.53,4.53,-21.17,16.67,10,1.662,1.11,True
AUDJPY,M30,CHOP,SupplyDemandImpulseRetestStrategy,ccfd1e0a57474850,54.397583136981105,1,10,1.96,4.6,2.38,5.1,60.0,26,0.964,-0.5,False
AUDJPY,H1,TREND,IchimokuStrategy,de95e0b3ec3a30fc,53.08224293657629,1,140,1.385,24.55,4.84,2.578,59.29,337,0.986,-2.07,True
AUDJPY,H1,RANGE,SqueezeBreakoutStrategy,1f4cba8a5fb23b28,55.126846588795615,1,25,2.099,13.1,4.62,5.805,60.0,75,0.977,-1.13,False
AUDJPY,H1,CHOP,SqueezeBreakoutStrategy,1d073cdeee20dffe,59.43045867460489,1,12,2.841,7.67,2.01,8.169,66.67,29,2.013,12.94,True
AUDJPY,H4,TREND,KeltnerFadeStrategy,a112da856dc321dc,66.58478457633875,1,11,3.479,5.07,1.01,9.967,81.82,38,0.847,-2.74,True
AUDJPY,H4,RANGE,KaufmanAMATrendStrategy,5432aae42ad74c74,57.18712282059122,1,10,2.266,4.73,1.75,6.192,60.0,37,1.358,5.49,False
AUDJPY,H4,CHOP,KeltnerFadeStrategy,0ea2b020b49244be,66.91842636820449,1,10,3.831,5.72,1.03,10.882,80.0,35,1.414,5.61,False
AUDJPY,D1,TREND,EMAPullbackContinuationStrategy,04e1d0dd730488a3,77.26959302027477,1,26,4.919,8.42,0.98,13.128,88.46,75,1.527,9.08,True
AUDJPY,D1,RANGE,EMAPullbackContinuationStrategy,a4bed871ce7d65b5,57.35089307527201,1,10,2.086,3.42,1.14,5.345,60.0,20,1.165,1.65,True
AUDJPY,D1,CHOP,EMAPullbackContinuationStrategy,a4bed871ce7d65b5,65.59105156830216,1,25,2.616,11.01,1.88,7.754,72.0,67,1.355,10.58,True
AUDNZD,M15,TREND,ATRPercentileBreakoutStrategy,ed642a6ab069da6e,40.21548475277133,1,10,1.178,0.81,2.49,1.228,60.0,27,1.179,2.29,True
AUDNZD,M15,RANGE,ATRPercentileBreakoutStrategy,79ef275eca3bb26e,10.915560611508031,2,11,0.948,-0.27,2.88,-0.405,54.55,33,0.489,-8.69,True
AUDNZD,M15,CHOP,ADXDIStrengthStrategy,0d69df86290fd26f,23.35486536851856,4,15,1.038,0.19,2.1,0.268,66.67,28,0.62,-4.71,True
AUDNZD,M30,TREND,ATRPercentileBreakoutStrategy,b178a0b95ba41fd0,11.682752263885595,2,19,1.029,0.38,6.39,0.213,36.84,31,1.301,6.38,True
AUDNZD,M30,RANGE,ADXDIStrengthStrategy,e8101a0e27912db5,6.636237546508072,3,12,0.863,-0.56,3.1,-1.113,50.0,34,0.609,-4.09,True
AUDNZD,M30,CHOP,ADXDIStrengthStrategy,81322febea7d81b5,27.283129802311564,3,6,0.0,-6.62,6.62,-212.986,0.0,8,1.265,1.1,False
AUDNZD,H1,TREND,ATRPercentileBreakoutStrategy,7c11dfc4fc5795ce,40.106373843617966,1,15,1.414,3.19,4.12,2.653,53.33,29,1.555,7.65,True
AUDNZD,H1,RANGE,ZScoreVWAPReversionStrategy,a7ac86bd42231e87,52.04192562079403,1,17,1.537,1.34,1.72,2.858,82.35,48,0.656,-4.18,True
AUDNZD,H1,CHOP,FractalSRZoneBreakRetestStrategy,11239f435d74ce87,60.67938435327175,1,11,2.2,5.22,1.11,6.083,63.64,30,0.975,-0.46,True
AUDNZD,H4,TREND,StochRSITrendGateStrategy,c591982006e1fec6,63.82876669921848,1,45,1.892,9.74,2.11,4.854,77.78,100,1.226,6.83,True
AUDNZD,H4,RANGE,EMAPullbackContinuationStrategy,882f2c15cc512341,79.81182609281845,1,28,4.048,11.62,0.89,11.575,85.71,61,1.343,8.43,True
AUDNZD,H4,CHOP,EMAPullbackContinuationStrategy,594e4abaf6cbf0e1,59.91747473254277,1,59,1.624,10.25,2.42,3.691,74.58,202,1.287,22.54,True
