symbol,timeframe,regime,strategy_name,param_hash,quality_score,rank,val_trades,val_pf,val_return,val_dd,val_sharpe,val_win_rate,train_trades,train_pf,train_return,is_tuned
AU200,M5,TREND,ATRPercentileBreakoutStrategy,6c55376c65c53d76,54.31443641878377,1,28,1.867,12.04,4.31,4.873,57.14,51,1.498,12.89,True
AU200,M5,RANGE,FisherTransformMRStrategy,254e5637763a195c,30.189700077407984,2,2,1.846,0.91,1.08,3.336,50.0,8,1.964,4.31,True
AU200,M5,BREAKOUT,MomentumBurstStrategy,f5f3bc6124337e00,35.1735558244579,2,2,1.272,0.28,1.03,1.344,50.0,1,10.0,1.33,True
AU200,M5,CHOP,FisherTransformMRStrategy,9a5cd95e702452a2,28.444262367535323,1,8,1.055,0.28,2.09,0.384,37.5,15,1.326,1.97,True
AU200,M15,TREND,ZScoreVWAPReversionStrategy,b4668941980b5eda,55.004072400326265,1,24,1.598,5.71,2.09,3.674,62.5,78,1.406,15.1,True
AU200,M15,RANGE,ADXDIStrengthStrategy,2c5e972e7cdfc20d,49.9178532427918,1,30,1.5,7.46,2.75,2.918,40.0,90,1.054,2.02,True
AU200,M15,CHOP,MomentumBurstStrategy,a3d92b4cc2a7ddf5,32.363901041344434,4,2,10.0,1.25,0.0,1589.354,100.0,53,1.504,9.44,True
AU200,M30,TREND,ZScoreVWAPReversionStrategy,15f63ff024c371be,54.95762212177737,1,15,1.556,1.72,1.61,3.071,80.0,37,1.116,1.17,True
AU200,M30,RANGE,ZScoreVWAPReversionStrategy,c9a34bd2345eec61,61.256870696682405,1,18,2.546,7.61,2.0,7.463,72.22,45,1.605,10.19,True
AU200,M30,BREAKOUT,FractalSRZoneBreakRetestStrategy,f88431131eaffe9b,44.62209990811732,1,1,10.0,1.24,0.0,0.0,100.0,2,10.0,2.47,False
AU200,M30,CHOP,ZScoreVWAPReversionStrategy,15f63ff024c371be,56.532993805478014,1,16,1.703,2.16,2.04,3.728,81.25,45,1.095,1.2,True
AU200,H1,TREND,ZScoreVWAPReversionStrategy,6bf86483a505e47f,71.94544291092198,1,10,6.126,5.28,1.02,15.303,90.0,27,1.156,1.57,True
AU200,H1,RANGE,RSITrendFilteredMRStrategy,c5390dd9321e63b6,40.418450543979276,2,18,1.32,2.68,2.69,2.127,50.0,64,1.682,18.71,True
AU200,H1,BREAKOUT,SupplyDemandImpulseRetestStrategy,28a31438361ecdd5,45.36785575981125,2,1,10.0,1.6,0.0,0.0,100.0,3,10.0,3.14,True
AU200,H1,CHOP,ZScoreVWAPReversionStrategy,6bf86483a505e47f,72.68414262207635,1,11,6.505,5.93,1.05,15.959,90.91,27,2.295,7.88,True
AU200,H4,TREND,VortexTrendStrategy,08de7325d623e85f,60.15326949065619,1,68,1.658,8.95,2.52,3.616,80.88,161,1.124,5.03,True
AU200,H4,RANGE,VortexTrendStrategy,3191597c81710832,61.30228460928101,1,12,3.068,8.19,1.86,8.762,66.67,30,1.456,6.28,False
AU200,H4,BREAKOUT,ZScoreMRStrategy,b5af7252457c5f4d,43.79426175049128,1,1,10.0,0.38,0.0,0.0,100.0,2,10.0,0.94,True
AU200,H4,CHOP,AroonTrendStrategy,7534acee7d37bab9,62.65771387217155,1,22,2.5,13.36,2.45,7.238,63.64,71,1.101,3.62,False
AU200,D1,TREND,StochasticReversalStrategy,ea77b3b1111f54e9,63.16864635534772,1,39,1.84,5.92,1.6,4.39,82.05,91,1.172,4.02,True
AU200,D1,RANGE,StochasticReversalStrategy,ea77b3b1111f54e9,47.30459536491272,1,2,10.0,0.83,0.0,3718.16,100.0,6,10.0,2.38,True
AU200,D1,BREAKOUT,MomentumBurstStrategy,5dc60db07ad54094,47.769910929496156,1,2,1.458,0.43,0.93,2.091,50.0,3,10.0,4.51,False
AU200,D1,CHOP,ParabolicSARTrendStrategy,2f086f87630b351d,56.45655904719218,1,16,2.676,10.22,3.23,7.57,62.5,34,1.653,10.4,False
AUDCAD,M5,TREND,ATRPercentileBreakoutStrategy,bd69c08369a268b9,30.572642607608106,2,4,1.206,0.47,2.29,1.283,50.0,16,1.542,4.52,False
AUDCAD,M5,RANGE,MomentumBurstStrategy,9c8e83cc76ae6ada,25.97652479309588,3,1,10.0,0.91,0.0,0.0,100.0,19,1.257,2.13,True
AUDCAD,M5,CHOP,FisherTransformMRStrategy,a833336c31f718ee,44.54093930442849,1,1,10.0,0.93,0.0,0.0,100.0,2,10.0,2.32,False
AUDCAD,M15,RANGE,ADXDIStrengthStrategy,3848e909bd45dcbc,36.104636070162066,2,7,1.543,2.21,2.83,3.014,42.86,13,2.222,9.13,True
AUDCAD,M15,BREAKOUT,MomentumBurstStrategy,451dc494d3f56533,45.65584789699923,1,2,10.0,0.77,0.0,422.807,100.0,3,10.0,0.77,True
AUDCAD,M15,CHOP,ADXDIStrengthStrategy,516344cbd2df83cf,60.73679510758186,1,12,2.333,4.56,1.14,6.44,75.0,32,2.317,11.55,True
AUDCAD,M30,TREND,ZScoreVWAPReversionStrategy,65afa9d10c637701,46.251367831461025,1,47,1.205,4.52,3.68,1.463,57.45,148,1.054,3.63,True
AUDCAD,M30,RANGE,ZScoreVWAPReversionStrategy,c3912febb09c31da,54.33755442984504,1,23,1.946,6.77,4.92,5.233,69.57,85,1.015,0.57,False
AUDCAD,M30,BREAKOUT,RSITrendFilteredMRStrategy,a21bee691decd74d,33.54603875850335,2,1,10.0,0.75,0.0,0.0,100.0,1,10.0,0.61,True
AUDCAD,M30,CHOP,ZScoreVWAPReversionStrategy,a5e4d03119900647,35.893144213772935,1,20,1.18,2.62,6.02,1.191,35.0,64,1.455,17.56,True
AUDCAD,H1,TREND,ZScoreVWAPReversionStrategy,48c7647b86c40b03,26.761607419016627,1,18,1.086,0.84,4.3,0.636,50.0,63,1.164,5.13,True
AUDCAD,H1,RANGE,ZScoreVWAPReversionStrategy,ddbb7ac1a9c8f4e5,43.968818062373074,1,12,1.261,1.34,3.0,1.761,58.33,48,1.316,6.08,True
AUDCAD,H1,BREAKOUT,ZScoreVWAPReversionStrategy,13ca7dca31938084,45.09501563616553,1,1,10.0,0.94,0.0,0.0,100.0,3,10.0,2.64,True
AUDCAD,H1,CHOP,RSITrendFilteredMRStrategy,e4a91b83dd1ccb12,36.88646661699968,2,7,4.292,3.32,0.98,11.501,85.71,30,1.786,6.29,True
AUDCAD,H4,TREND,RSIDivergenceStrategy,03dcdf7267a84762,61.97650928831376,1,43,2.395,7.12,2.75,6.033,88.37,88,1.521,7.89,True
AUDCAD,H4,RANGE,EMAPullbackContinuationStrategy,ff79d44c1f83d1ab,79.13425628775377,1,11,8.044,7.46,1.01,18.632,90.91,42,2.643,18.99,True
AUDCAD,H4,BREAKOUT,KeltnerFadeStrategy,0ea2b020b49244be,30.04428381816284,11,1,10.0,0.9,0.0,0.0,100.0,3,1.792,0.86,False
AUDCAD,H4,CHOP,RSIDivergenceStrategy,4b278966a4c495e9,65.83797038425651,2,12,3.431,2.4,0.98,8.491,91.67,37,1.127,0.99,True
AUDCAD,D1,TREND,KeltnerPullbackStrategy,722c53a70b3853f8,66.64318160549922,1,10,3.583,7.82,1.02,10.036,70.0,27,1.172,2.52,False
AUDCAD,D1,RANGE,StochRSITrendGateStrategy,ca4c3eddc35265cf,29.41801412027236,7,1,10.0,0.96,0.0,0.0,100.0,5,1.593,1.09,False
AUDCAD,D1,CHOP,VortexTrendStrategy,5efb705f1088405d,68.40320687361869,1,12,4.276,3.21,0.94,10.802,91.67,45,1.573,5.24,True
AUDJPY,M5,TREND,MomentumBurstStrategy,f7463d2bc42bf10c,53.04027522044243,1,34,1.726,13.12,4.0,4.157,50.0,59,1.103,3.54,True
AUDJPY,M5,RANGE,MomentumBurstStrategy,ec7d906cf17fda2b,31.25708848937573,1,14,1.107,1.13,8.01,0.686,28.57,38,1.088,2.2,True
AUDJPY,M5,BREAKOUT,MomentumBurstStrategy,b212ba6ed1af2a76,50.2446361868534,1,6,3.716,3.18,1.12,10.089,83.33,5,10.0,2.01,True
AUDJPY,M15,TREND,MomentumBurstStrategy,f2142ade2a805dc8,43.64336127898868,2,35,1.195,1.9,1.9,1.303,71.43,81,1.018,0.44,True
AUDJPY,M15,RANGE,MomentumBurstStrategy,42706e38472debed,41.58686287906005,3,36,1.346,9.06,5.78,2.17,38.89,86,1.345,19.41,True
AUDJPY,M15,CHOP,MomentumBurstStrategy,f2142ade2a805dc8,37.8503669659821,3,7,1.148,0.3,2.02,0.941,71.43,10,1.924,1.76,True
AUDJPY,M30,TREND,MomentumBurstStrategy,c43e17e86fa9ed1c,51.020669578193385,1,67,1.447,6.22,4.5,2.618,79.1,123,1.121,3.5,True
AUDJPY,M30,BREAKOUT,MomentumBurstStrategy,e83d160a2f6e03fa,35.94970861799027,1,1,10.0,2.33,0.0,0.0,100.0,5,3.7,4.65,True
AUDJPY,M30,CHOP,SupplyDemandImpulseRetestStrategy,909ead7aa3e7cac5,40.66519442828125,2,18,1.207,2.78,4.26,1.321,33.33,36,1.07,1.85,True
AUDJPY,H1,TREND,KeltnerBreakoutStrategy,d829d4d5bb22057e,38.809857381632376,7,194,1.171,25.84,9.99,1.193,40.21,465,1.267,91.63,True
AUDJPY,H1,RANGE,SqueezeBreakoutStrategy,c4afea4f83ed36a4,50.721370051267535,3,28,1.417,2.15,2.05,2.316,82.14,81,1.067,1.11,True
AUDJPY,H1,BREAKOUT,EMAPullbackContinuationStrategy,613fe92d561c312d,47.80704646520404,1,1,10.0,1.2,0.0,0.0,100.0,3,10.0,7.61,True
AUDJPY,H1,CHOP,SqueezeBreakoutStrategy,1d073cdeee20dffe,59.43045867460489,1,12,2.841,7.67,2.01,8.169,66.67,29,2.013,12.94,True
AUDJPY,H4,TREND,RSIDivergenceStrategy,1a6f0fcb19dc5c88,57.65760003065003,2,21,1.969,7.69,2.95,5.318,61.9,46,1.431,10.09,False
AUDJPY,H4,RANGE,KaufmanAMATrendStrategy,5432aae42ad74c74,57.18712282059122,1,10,2.266,4.73,1.75,6.192,60.0,37,1.358,5.49,False
AUDJPY,H4,BREAKOUT,KeltnerPullbackStrategy,722c53a70b3853f8,44.503064356040376,1,1,10.0,1.49,0.0,0.0,100.0,2,10.0,2.25,False
AUDJPY,H4,CHOP,KeltnerFadeStrategy,0ea2b020b49244be,66.91842636820449,1,10,3.831,5.72,1.03,10.882,80.0,35,1.414,5.61,False
